id,year,type,title,doi_or_url,benchmark_role,status
book,2024,book,Intelligent Industrial Alarm Systems,10.1007/978-981-97-6516-4,theory spine,local evidence
tep,1993,paper,A Plant-Wide Industrial Process Control Problem,10.1016/0098-1354(93)80018-I,process simulator,runnable source
tep_alarm,2020,dataset,Tennessee-Eastman-Process Alarm Management Dataset,10.21227/326k-qr90,alarm flood benchmark,metadata only
pronto,2018,dataset,PRONTO benchmark case study,10.5281/zenodo.1341583,process and alarm data,partial download
piade,2022,dataset,PIADE industrial alarm dataset,10.5281/zenodo.7071747,real packaging alarms,downloaded
skab,2022,dataset,SKAB,10.1007/s41060-022-00355-4,anomaly robustness,downloaded
casim,2024,paper,Convolutional kernel-based classification of industrial alarm floods,10.1017/dce.2024.22,early and open-set AFC,protocol-ready
cone_afc,2024,paper,Conformal early alarm flood classification,10.1109/ACCESS.2024.3492348,uncertainty sets,protocol-ready
npp,2024,dataset,Nuclear Power Plant Alarm Dataset,10.21227/g2fa-9y43,cross-domain alarm flood,metadata only
fcc,2025,dataset,Alarm Dataset Fluidized Catalytic Cracking,10.60517/2v23vv393,cross-domain alarm flood,metadata only
robustbench,2026,preprint,AFC-RobustBench,10.2139/ssrn.6999280,alarm flood robustness,evidence only
