id,year,doi,role,source_status,ara_status
xu2012_far_mar_aad,2012,10.1109/TASE.2011.2176490,book-chapter-2 mathematical baseline,not_openly_downloadable,engineering_validated_source_gated
wang2022_delay_pmf,2022,10.1016/j.jprocont.2022.01.002,book-chapter-2 non-IID delay design,not_openly_downloadable,engineering_validated_source_gated
wang2023_deadband,2023,10.1109/TCST.2023.3240020,book-chapter-2 non-IID deadband design,not_openly_downloadable,engineering_validated_source_gated
yu2017_alarm_probability_plot,2017,10.1109/TIE.2017.2682783,book-chapter-2 alarm probability plots,not_openly_downloadable,engineering_validated_source_gated
yu2020_convex_noz,2020,10.1109/TCST.2019.2943469,book-chapter-3 convex NOZ,not_openly_downloadable,metadata_only
wang2024_search_cones,2024,10.1109/TASE.2022.3222413,book-chapter-3 non-convex NOZ,not_openly_downloadable,engineering_validated_source_gated
chen2017_variation_directions,2017,10.1016/j.cherd.2017.04.011,book-chapter-3 variation-direction alarms,not_openly_downloadable,engineering_validated_source_gated
xiong2018_bayesian_pumps,2018,10.1109/TII.2017.2749332,book-chapter-3 time-varying pump alarms,not_openly_downloadable,engineering_validated_source_gated
wang2024_condenser_noz,2024,10.1109/TCST.2024.3370036,book-chapter-3 physics-guided condenser monitoring,not_openly_downloadable,engineering_validated_source_gated
zhang2022_igte,2022,10.3390/e24020212,book-chapter-4 continuous-variable causal inference,downloaded,engineering_validated_source_acquired
hu2017_alarm_transfer_entropy,2017,10.1016/j.conengprac.2017.04.012,book-chapter-4 binary alarm NTE/NDTE,not_openly_downloadable,engineering_validated_source_gated
zhang2023_igdte,2023,10.1016/j.conengprac.2023.105669,book-chapter-4 IGTE/IGDTE extension,not_openly_downloadable,engineering_validated_source_gated
wang2018_recursive_bn_rca,2018,10.1016/j.ijepes.2018.05.029,book-chapter-4 online alarm root-cause analysis,not_openly_downloadable,engineering_validated_source_gated
hu2022_qualitative_trend_rca,2022,10.1016/j.compchemeng.2022.107813,book-chapter-4 continuous-variable root-cause contributions,not_openly_downloadable,engineering_validated_source_gated
wang2018_flood_detection,2018,10.1109/TCST.2017.2723578,book-chapter-5 flood segmentation,not_openly_downloadable,engineering_validated_source_gated
hu2016_local_alignment,2016,10.1016/j.conengprac.2016.05.021,book-chapter-5 alarm-flood matching,not_openly_downloadable,engineering_validated_source_gated
hu2018_closed_alarm_patterns,2018,10.1109/TIE.2018.2795573,book-chapter-5 closed and representative patterns,not_openly_downloadable,engineering_validated_source_gated
xu2021_max_entropy,2021,10.1016/j.jprocont.2021.10.002,book-chapter-5 next-alarm prediction,not_openly_downloadable,engineering_validated_source_gated
faulwasser2024_casim,2024,10.1017/dce.2024.22,SOTA early/open-set alarm flood classification,downloaded,engineering_validated_source_acquired
faulwasser2024_cone_afc,2024,10.1109/ACCESS.2024.3492348,SOTA uncertainty-aware online alarm flood classification,not_openly_downloadable,engineering_validated_source_gated
faulwasser2025_uncertainty_reduction,2025,10.1016/j.ifacol.2025.11.935,SOTA early decision timing,not_openly_downloadable,engineering_validated_source_gated
faulwasser2025_etfa_robustness,2025,10.1109/ETFA65518.2025.11205709,SOTA alarm-corruption robustness,not_openly_downloadable,engineering_validated_source_gated
faulwasser2026_robustbench,2026,10.2139/ssrn.6999280,SOTA robustness benchmark,download_failed,engineering_validated_source_gated
manca2025_cross_conformal_afc,2025,10.1109/ICPS65515.2025.11087828,SOTA data-efficient uncertainty-aware online alarm flood classification,not_openly_downloadable,engineering_validated_source_gated
rao2025_ctfh,2025,10.1016/j.cherd.2025.11.026,SOTA deterministic and scalable online alarm flood classification,not_openly_downloadable,engineering_validated_source_gated
rahaman2025_modified_tfidf,2025,10.1016/j.conengprac.2025.106485,"SOTA n-gram clustering, fault isolation and early alarm-flood warning",not_openly_downloadable,engineering_validated_source_gated
rahimi2026_structured_hdam,2026,10.1016/j.compchemeng.2026.109570,SOTA interpretable visual-template online alarm flood classification,not_openly_downloadable,engineering_validated_source_gated
